Pytanie;Odpowiedź;Rozdział
Choroby demielinizacyjne: co trzeba pamiętać o: ten punkt?;"SM: wieloogniskowa demielinizacja OUN, zwykle młodzi dorośli, częściej kobiety; objawy rozsiane w czasie i przestrzeni.";Choroby demielinizacyjne
Choroby demielinizacyjne: co trzeba pamiętać o: Typowe objawy SM?;Typowe objawy SM: pozagałkowe zapalenie nerwu wzrokowego, zaburzenia czucia, niedowład, ataksja, diplopia, objaw Lhermitte'a, zaburzenia zwieraczy i zmęczenie.;Choroby demielinizacyjne
Choroby demielinizacyjne: co trzeba pamiętać o: Diagnostyka SM?;Diagnostyka SM: MRI mózgu i rdzenia, prążki oligoklonalne w PMR, potencjały wywołane oraz wykluczenie chorób podobnych.;Choroby demielinizacyjne
Choroby demielinizacyjne: co trzeba pamiętać o: Postacie?;Postacie: rzutowo-remisyjna, wtórnie postępująca, pierwotnie postępująca i postępująco-rzutowa w starszych klasyfikacjach.;Choroby demielinizacyjne
Choroby demielinizacyjne: co trzeba pamiętać o: ten punkt?;"Rzut SM: nowe lub nasilone objawy neurologiczne trwające ponad 24 h, bez gorączki i infekcji; leczenie rzutu zwykle wysokodawkowymi steroidami.";Choroby demielinizacyjne
Choroby demielinizacyjne: co trzeba pamiętać o: ten punkt?;"SM = czas plus przestrzeń; NMO = wzrok plus długi rdzeń; ADEM = dziecko plus encefalopatia; PML = immunosupresja plus JC.";Choroby demielinizacyjne
Choroby demielinizacyjne: co trzeba pamiętać o: Objaw Lhermitte'a to prąd wzdłuż kręgosłupa przy zgięciu szyi.?;Objaw Lhermitte'a to prąd wzdłuż kręgosłupa przy zgięciu szyi.;Choroby demielinizacyjne
Choroby demielinizacyjne: co trzeba pamiętać o: ten punkt?;Prążki oligoklonalne wspierają rozpoznanie SM, ale nie zastępują obrazu klinicznego i MRI.;Choroby demielinizacyjne
Choroby demielinizacyjne: odtwórz fakt ze skryptu zaczynający się od: Białko PrPs (nieprawidłowe) może być przeszczepione, pobrane z pokarmem...;Białko PrPs (nieprawidłowe) może być przeszczepione, pobrane z pokarmem lub może powstać de novo w wyniku mutacji w genie PRNP na 20. chromosomie.;Choroby demielinizacyjne
Choroby demielinizacyjne: co pamiętasz o: istocie białej OUN, najczęściej w lokalizacji?;istocie białej OUN, najczęściej w lokalizacji:;Choroby demielinizacyjne
"Choroby demielinizacyjne: odtwórz fakt ze skryptu zaczynający się od: Choroba poniżej 16 r.ż. - dziecięca postać SM; choroba powyżej 50 r.ż....";"Choroba poniżej 16 r.ż. - dziecięca postać SM; choroba powyżej 50 r.ż. - późna postać SM. Średni czas przeżycia od zachorowania to 25-35 lat";Choroby demielinizacyjne
"Który z poniższych objawów NIE JEST elementem zespołu parkinsonowskiego:
A. Sztywność
B. Bradykinezja
C. Drżenie spoczynkowe
D. Spastyczność
E. Zaburzenia odruchów postawy";D. Spastyczność (egzamin neurologia 2026 cykl A-2.docx, pyt. 31);Układ pozapiramidowy i zaburzenia ruchowe
"Do typowych objawów pozaruchowych choroby Parkinsona występujących w fazie przedklinicznej NIE NALEŻY/Ą:
A. Zaburzenia węchu (hiposmia)
B. Zaburzenie zachowania w fazie snu REM (RBD)
C. Objawy psychotyczne
D. Zaburzenia nastroju
E. Zaparcia";C. Objawy psychotyczne (egzamin neurologia 2026 cykl A-2.docx, pyt. 32);Układ pozapiramidowy i zaburzenia ruchowe
"Do kryteriów wspierających rozpoznanie choroby Parkinsona NIE NALEŻY :
A. Bardzo dobra reakcja na leczenie dopaminergiczne
B. Dwustronny symetryczny parkinsonizm
C. Występowanie dyskinez wywołanych lewodopa
D. Utrata węchu
E. Drżenie spoczynkowe (w trakcie badania lub w wywiadzie)";B. Dwustronny symetryczny parkinsonizm (egzamin neurologia 2026 cykl A-2.docx, pyt. 33);Układ pozapiramidowy i zaburzenia ruchowe
"Rezonans magnetyczny (MR) wykazujący zanik śródmózgowia, który na obrazach w przekrojach strzałkowych daje obraz tzw. dzioba kolibra lub pingwina jest typowy dla:
A. Postępującego porażenia nadjądrowego
B. Zaniku wieloukładowego
C. Zwyrodnienia korowo podstawnego
D. Otępienia z ciałami Lewy'ego
E. Choroby Parkinsona";A. Postępującego porażenia nadjądrowego (egzamin neurologia 2026 cykl A-2.docx, pyt. 34);Układ pozapiramidowy i zaburzenia ruchowe
"W którym atypowym parkinsonizmie występują wybitnie asymetryczne objawy z tzw.= „objawem „obcej kończyny"" (alien limb):
A. Otępieniu z ciałami Lewy ego
B. Zaniku wieloukładowym
C. Parkinsonizmie polekowym
D. Postępującym porażeniu nadjądrowym
E. Zwyrodnieniu korowo-podstawnym";E. Zwyrodnieniu korowo-podstawnym (egzamin neurologia 2026 cykl A-2.docx, pyt. 35);Układ pozapiramidowy i zaburzenia ruchowe
"Badanie SPECT z użyciem znacznika DaTSCAN pomaga zróżnicować:
A. Chorobę Parkinsona i zanik wieloukładowy
B. Chorobę Parkinsona i parkinsonizm polekowy
C. Chorobę Parkinsona i drżenie samoistne
D. i C
E. і С";E. і С (egzamin neurologia 2026 cykl A-2.docx, pyt. 36);Układ pozapiramidowy i zaburzenia ruchowe
"W przypadku wystąpienia dyskinez szczytu dawki w przebiegu choroby
A. Parkinsona należy:
B. Zredukować pojedynczą dawkę lewodopy
C. Zwiększyć pojedynczą dawkę lewodopy
D. Dolaczyć amantadynę
E. Odstawić amantadynę
F. Dolączyć inhibitor COMT
G. Odstawić inhibitor MAO-B A
H. 1,4,5
I. 1,3,6
J. 1,4,6
K. 2,3,6
L. 1,3,5";I. 1,3,6 (egzamin neurologia 2026 cykl A-2.docx, pyt. 37);Układ pozapiramidowy i zaburzenia ruchowe
"Drżenie spoczynkowe o częstotliwości 4-6 Hz jest typowe dla:
A. Pląsawicy Huntingtona
B. Dystonii
C. Choroby Parkinsona
D. Ataksji móżdżkowej
E. Drżenia samoistnego";C. Choroby Parkinsona (egzamin neurologia 2026 cykl A-2.docx, pyt. 43);Układ pozapiramidowy i zaburzenia ruchowe
"Objawy parkinsonizmu polekowego są zwykle:
A. Asymetryczne
B. Symetryczne
C. Zawsze jednostronne
D. Z przewagą w kończynach dolnych
E. Z przewagą w kończynach górnych";B. Symetryczne (egzamin neurologia 2026 cykl A-2.docx, pyt. 44);Układ pozapiramidowy i zaburzenia ruchowe
"Który z poniższych leków najczęściej wywoluje parkinsonizm polekowy?
A. Diazepam
B. Haloperidol
C. Paracetamol
D. Klozapına
E. Betahistyna";B. Haloperidol (egzamin neurologia 2026 cykl A-2.docx, pyt. 45);Układ pozapiramidowy i zaburzenia ruchowe
"Które z poniższych schorzeń należy do taupatii?
A. Choroba Wilsona
B. Choroba Huntingtona
C. Postępujące porażenie nadjądrowe
D. Zespół Tourette
E. Choroba Parkinsona";C. Postępujące porażenie nadjądrowe (egzamin neurologia 2026 cykl A-2.docx, pyt. 47);Układ pozapiramidowy i zaburzenia ruchowe
"Który z poniższych objawów, najbardziej przemawia za rozpoznaniem atypowego zespołu parkinsonowskiego, a nie choroby Parkinsona?
A. Asymetria objawów
B. Drżenie spoczynkowe
C. Wczesne zaburzenia postawy i upadki
D. Dobra odpowiedź na lewodopę
E. Mikrografia";C. Wczesne zaburzenia postawy i upadki (egzamin neurologia 2026 cykl A-2.docx, pyt. 48);Układ pozapiramidowy i zaburzenia ruchowe
"Który z poniższych objawów jest typowy dla dystonii szyjnej
A. Ruchy pląsawicze głowy
B. Skręcenie i przymusowe ustawienie głowy
C. Oczopląs i ataksja
D. Drżenie spoczynkowe
E. Bradykinezja";B. Skręcenie i przymusowe ustawienie głowy (egzamin neurologia 2026 cykl A-2.docx, pyt. 49);Układ pozapiramidowy i zaburzenia ruchowe
"Który z poniższych objawów NIE WYSTĘPUJE w chorobie Wilsona?
A. Pierścień Kaysera-Fleischera
B. Objawy psychiatryczne
C. Spadek ceruloplazminy i zwiększenie miedzi w moczu
D. Objawy pozapiramidowe
E. Wzrost stężenia ceruloplazminy";E. Wzrost stężenia ceruloplazminy (egzamin neurologia 2026 cykl A-2.docx, pyt. 50);Układ pozapiramidowy i zaburzenia ruchowe
"Choroba Parkinsona z otępieniem (PDD) vs otępienie z ciałami Lewy'ego (DL.B) - wskaż prawidlowe stwierdzenie:
A. w DLB otępienie pojawia się dopiero po ≥ 10 latach trwania parkinsonizmu
B. PDD rozpoznaje się, gdy otępienie poprzedza objawy ruchowe
C. PDD rozpoznaje się, gdy otępienie rozwija się ≥ 1 roku po wystąpieniu objawów parkinsonowskich (,,reguła roku"")
D. „reguła roku"" dotyczy wyłącznie otepienia naczyniopochodnego
E. w PDD nie występują omamy wzrokowe";"C. PDD rozpoznaje się, gdy otępienie rozwija się ≥ 1 roku po wystąpieniu objawów parkinsonowskich (,,reguła roku"") (egzamin neurologia 2026 cykl A-2.docx, pyt. 54)";Układ pozapiramidowy i zaburzenia ruchowe
"W leczeniu dystonii ogniskowych leczeniem z wyboru są:
A. Benzodiazepiny
B. Leki cholinolityczne
C. Wstrzyknięcia toksyny botulinowej
D. Leki przeciwdrgawkowe
E. Lewodope";C. Wstrzyknięcia toksyny botulinowej (egzamin neurologia 2026 cykl A-2.docx, pyt. 62);Układ pozapiramidowy i zaburzenia ruchowe
"Nasilona dysautonomia występująca na początkowym etapie choroby jest charakterystyczna dla:
A. choroby parkinsona
B. postępującego porażenia nadjądrowego
C. zaniku wieloukładowego
D. parkinsonizmu naczyniowego
E. otępienia z ciałami Lewy’ego";C. zaniku wieloukładowego (egzamin neurologia II 2026 cykl A-3.docx, pyt. 35);Układ pozapiramidowy i zaburzenia ruchowe
"Pacjent 65-letni od 15 lat chorujący na chorobę Parkinsona. Leczony aktualnie lewodopą w dawce 2000mg/dobę, ropinirolem 16mg/dobę oraz amantadyną 300mg/dobę. Jak wynika z dzienniczka Hausera przez 50% czasu aktywności występują stany OFF, a przez 30% stany ON z dokuczliwymi dyskinezami. Z objawów pozaruchowych występują: hipotonia ortostatyczna oraz łagodne otępienie. Zaproponuj dalsze postępowanie:
A. należy zwiększyć zarówno dawkę lewodopy jak i ropinirolu
B. należy odstawić amantadynę
C. choremu należy zaproponować zaawansowane metody terapii - w tym przypadku w pierwszej kolejności podskórny wlew apomorfiny
D. choremu należy zaproponować zaawansowane metody terapii - w tym przypadku w pierwszej kolejności DBS-STN
E. choremu należy zaproponować zaawansowane metody terapii - w tym przypadku w pierwszej kolejności podskórny foslewodopa+foskarbodopa";E. choremu należy zaproponować zaawansowane metody terapii - w tym przypadku w pierwszej kolejności podskórny foslewodopa+foskarbodopa (egzamin neurologia II 2026 cykl A-3.docx, pyt. 37);Układ pozapiramidowy i zaburzenia ruchowe
Układ pozapiramidowy i zaburzenia ruchowe: co trzeba pamiętać o: Choroba Parkinsona?;"Choroba Parkinsona: bradykinezja plus drżenie spoczynkowe, sztywność lub zaburzenia postawy; często asymetryczny początek.";Układ pozapiramidowy i zaburzenia ruchowe
Układ pozapiramidowy i zaburzenia ruchowe: co trzeba pamiętać o: Objawy niemotoryczne PD?;Objawy niemotoryczne PD: hiposmia, zaparcia, depresja, zaburzenia snu REM, dysautonomia i zaburzenia poznawcze.;Układ pozapiramidowy i zaburzenia ruchowe
Układ pozapiramidowy i zaburzenia ruchowe: co trzeba pamiętać o: Atypowy parkinsonizm?;Atypowy parkinsonizm: szybka progresja, wczesne upadki, słaba odpowiedź na lewodopę, objawy autonomiczne, spojrzenie pionowe albo wyraźna asymetria korowa.;Układ pozapiramidowy i zaburzenia ruchowe
Układ pozapiramidowy i zaburzenia ruchowe: co trzeba pamiętać o: ten punkt?;DLB: otępienie plus parkinsonizm, fluktuacje poznawcze, omamy wzrokowe i nadwrażliwość na neuroleptyki.;Układ pozapiramidowy i zaburzenia ruchowe
Układ pozapiramidowy i zaburzenia ruchowe: co trzeba pamiętać o: ten punkt?;MSA: parkinsonizm lub ataksja z nasilonymi objawami autonomicznymi. PSP: wczesne upadki i porażenie spojrzenia pionowego. CBD: asymetryczny zespół korowy i apraksja.;Układ pozapiramidowy i zaburzenia ruchowe
Układ pozapiramidowy i zaburzenia ruchowe: co trzeba pamiętać o: ten punkt?;PD: 'wolno, sztywno, drży'. ET: 'drży przy działaniu'. Huntington: 'tańczy, zmienia psychikę, dziedziczy AD'.;Układ pozapiramidowy i zaburzenia ruchowe
Układ pozapiramidowy i zaburzenia ruchowe: co trzeba pamiętać o: ten punkt?;"PSP zapamiętaj przez oczy i upadki; MSA przez autonomię; CBD przez asymetrię i objawy korowe.";Układ pozapiramidowy i zaburzenia ruchowe
Układ pozapiramidowy i zaburzenia ruchowe: co trzeba pamiętać o: ten punkt?;Dystonia to utrwalone lub napadowe skręcające skurcze, często zależne od zadania lub pozycji.;Układ pozapiramidowy i zaburzenia ruchowe
Układ pozapiramidowy i zaburzenia ruchowe: co pamiętasz o: w badaniu neuropatologicznym?;rozlane zmiany zapalno-demielinizacyjne w istocie białej, nieraz z ogniskami;Układ pozapiramidowy i zaburzenia ruchowe
Układ pozapiramidowy i zaburzenia ruchowe: co pamiętasz o: MR?;"rozległe, hiperintensywne strefy w istocie białej, widoczne w T2; mogą mieć charakter guzowaty (tumefactive MS)";Układ pozapiramidowy i zaburzenia ruchowe
Układ pozapiramidowy i zaburzenia ruchowe: odtwórz fakt ze skryptu zaczynający się od: Drżenia - mimowolny, oscylacyjny ruch kończyn lub głowy, wywołany...;Drżenia - mimowolny, oscylacyjny ruch kończyn lub głowy, wywołany naprzemiennym skurczem mm.;Układ pozapiramidowy i zaburzenia ruchowe
"Zaznacz NIEPRAWIDŁOWE stwierdzenie dotyczące rozłanego aksonalnego uszkodzenia mózgu:
A. Nieprawidłowości są zawsze widoczne w badaniu TK mózgu
B. Śpiączka utrzymuje się powyżej 6 godzin
C. U chorych mogą wystąpić zaburzenia czynności autonomicznych
D. Powstaje w wyniku urazu w mechanizmie akceleracyjno-rotacyjnym
E. Po ustąpieniu śpiączki często są obecne zaburzenia funkcji poznawczych";A. Nieprawidłowości są zawsze widoczne w badaniu TK mózgu (egzamin neurologia 2026 cykl A-2.docx, pyt. 13);Otępienia neurozwyrodnieniowe i naczyniowe
"Warunkiem rozpoznania otępienia jest:
A. sam wynik MMSE < 24
B. utrzymywanie się zaburzeń poznawczych ≥ 1 miesiąc i brak omamów
C. utrzymywanie się zaburzeń poznawczych ≥ 6 miesięcy oraz wykluczenie zaburzeń świadomości (w tym majaczenia) i depresji
D. obecnosé urojeń przez ≥ 2 tygodnie
E. wyłącznie subiektywna skargi na zaburzenia pamięci";C. utrzymywanie się zaburzeń poznawczych ≥ 6 miesięcy oraz wykluczenie zaburzeń świadomości (w tym majaczenia) i depresji (egzamin neurologia 2026 cykl A-2.docx, pyt. 29);Otępienia neurozwyrodnieniowe i naczyniowe
"Które zdanie o epidemiologii otępienia jest prawdziwe?
A. ryzyko otępienia maleje po 85. r.z.
B. ryzyko zachorowania podwaja się co 5 lat; a po 85. r.z. przekracza 40%
C. na świecie choruje ok. 5 mln osób
D. w Polsce choruje ok. 50 tys. osób
E. w wieku 65-70 lat częstość wynosi ~10%";"B. ryzyko zachorowania podwaja się co 5 lat; a po 85. r.z. przekracza 40% (egzamin neurologia 2026 cykl A-2.docx, pyt. 30)";Otępienia neurozwyrodnieniowe i naczyniowe
"Który opis najlepiej oddaje cechy radiologiczne choroby Alzheimera w badaniach obrazowych?
A. zanik przyśrodkowych części płatów skroniowych (hipokampa)
B. badania SPECT i PET są bezużyteczne diagnostycznie
C. PiB-PET służy głównie do uwidaczniania złogów białka tau
D. w chorobie Alzheimera nigdy nie stwierdza się odchyleń w badaniach obrazowych
E. w spektroskopii MR zawsze obserwuje się wzrost N-acetyloasparaginianu (NAA)";A. zanik przyśrodkowych części płatów skroniowych (hipokampa) (egzamin neurologia 2026 cykl A-2.docx, pyt. 51);Otępienia neurozwyrodnieniowe i naczyniowe
"Co przemawia PRZECIW rozpoznaniu otępienia naczyniopochodnego?
A. wczesne zaburzenia chodu, chód małymi krokami/na szerokiej podstawie
B. zaburzenia dyzuryczne bez przyczyny urologicznej
C. skokowe pogarszanie się i fluktuacje funkcji poznawczych
D. liczne zawały lakunarne i leukoarajoza w MR
E. wczesny, izolowany, stopniowy deficyt pamięci przy braku ogniskowego deficytu i braku zmian naczyniopochodnych w TK/MR na pewno?";E. wczesny, izolowany, stopniowy deficyt pamięci przy braku ogniskowego deficytu i braku zmian naczyniopochodnych w TK/MR na pewno? (egzamin neurologia 2026 cykl A-2.docx, pyt. 55);Otępienia neurozwyrodnieniowe i naczyniowe
"Które stwierdzenie dotyczące łagodnych zaburzeń poznawczych (MCI, ang. mild cognitive impairment) jest prawdziwe?
A. pacjent pozostaje samodzielny w zakresie aktywności dnia codziennego, ale istnieje obiektywne pogorszenie funkcji poznawczych, bez otępienia
B. do rozpoznania MCI konieczne jest majaczenie
C. rozpoznanie MCI wymaga upośledzenia w zakresie codziennych aktywności
D. MCI to synonim otępienia
E. w MCI zaburzenia nigdy nie dotyczą pamięci";A. pacjent pozostaje samodzielny w zakresie aktywności dnia codziennego, ale istnieje obiektywne pogorszenie funkcji poznawczych, bez otępienia (egzamin neurologia II 2026 cykl A-3.docx, pyt. 7);Otępienia neurozwyrodnieniowe i naczyniowe
"Najbardziej charakterystyczne zmiany neuropatologiczne w chorobie Alzheimera to:
A. demielinizacja z “płowieniem” mieliny” (shadow plaques)
B. złogi białek prionowych
C. izolowany zanik móżdżku
D. blaszki starcze z amyloidem B i wewnątrzkomórkowe sploty neurofibrylarne z hiperfosforylowanym białkiem tau
E. wyłącznie odkładanie alfa-synukleiny w istocie czarnej";D. blaszki starcze z amyloidem B i wewnątrzkomórkowe sploty neurofibrylarne z hiperfosforylowanym białkiem tau (egzamin neurologia II 2026 cykl A-3.docx, pyt. 8);Otępienia neurozwyrodnieniowe i naczyniowe
"Objaw Gowersa obserwuje się u pacjentów:
A. zespołu kanału nadgarstka
B. dystrofia mięśniowa
C. uszkodzeniem splotu ramiennego
D. wiądem rdzenia
E. chorobą alzheimera";B. dystrofia mięśniowa (egzamin neurologia II 2026 cykl A-3.docx, pyt. 22);Otępienia neurozwyrodnieniowe i naczyniowe
Otępienia neurozwyrodnieniowe i naczyniowe: co trzeba pamiętać o: Choroba Alzheimera?;Choroba Alzheimera: początek zwykle od pamięci epizodycznej, potem język, funkcje wzrokowo-przestrzenne i wykonawcze.;Otępienia neurozwyrodnieniowe i naczyniowe
Otępienia neurozwyrodnieniowe i naczyniowe: co trzeba pamiętać o: ten punkt?;"FTD: wczesne zmiany zachowania, odhamowanie, apatia, utrata empatii, stereotypie lub warianty językowe; pamięć może być względnie lepsza na początku.";Otępienia neurozwyrodnieniowe i naczyniowe
Otępienia neurozwyrodnieniowe i naczyniowe: co trzeba pamiętać o: ten punkt?;"DLB: fluktuacje poznawcze, omamy wzrokowe, parkinsonizm i zaburzenia snu REM; uwaga na nadwrażliwość na neuroleptyki.";Otępienia neurozwyrodnieniowe i naczyniowe
Otępienia neurozwyrodnieniowe i naczyniowe: co trzeba pamiętać o: ten punkt?;PDD: otępienie rozwija się u chorego z rozpoznaną chorobą Parkinsona, zwykle po okresie objawów ruchowych.;Otępienia neurozwyrodnieniowe i naczyniowe
Otępienia neurozwyrodnieniowe i naczyniowe: co trzeba pamiętać o: Otępienie naczyniopochodne?;Otępienie naczyniopochodne: związek z udarami lub chorobą małych naczyń, schodkowy lub fluktuujący przebieg, objawy ogniskowe i spowolnienie wykonawcze.;Otępienia neurozwyrodnieniowe i naczyniowe
Otępienia neurozwyrodnieniowe i naczyniowe: co trzeba pamiętać o: ten punkt?;"AD = pamięć; FTD = osobowość/język; DLB = fluktuacje i omamy; naczyniowe = schodki i ogniska.";Otępienia neurozwyrodnieniowe i naczyniowe
Otępienia neurozwyrodnieniowe i naczyniowe: co trzeba pamiętać o: Wodogłowie normotensyjne?;Wodogłowie normotensyjne: chód, otępienie, nietrzymanie moczu.;Otępienia neurozwyrodnieniowe i naczyniowe
Otępienia neurozwyrodnieniowe i naczyniowe: co trzeba pamiętać o: ten punkt?;"Majaczenie jest ostre i fluktuuje z zaburzeniem uwagi; otępienie jest przewlekłe.";Otępienia neurozwyrodnieniowe i naczyniowe
Otępienia neurozwyrodnieniowe i naczyniowe: odtwórz fakt ze skryptu zaczynający się od: W wieku dorosłym nasilenie objawów się...;W wieku dorosłym nasilenie objawów się zmniejsza;Otępienia neurozwyrodnieniowe i naczyniowe
Otępienia neurozwyrodnieniowe i naczyniowe: odtwórz fakt ze skryptu zaczynający się od: Leczenie - hamowanie nadmiernej aktywności układu dopaminergicznego -...;"Leczenie - hamowanie nadmiernej aktywności układu dopaminergicznego - haloperidol, tiapryd, risperidon, arypiprazol, pimozyd; klonidyna (lżejsze przypadki), tetrabenazyna";Otępienia neurozwyrodnieniowe i naczyniowe
Otępienia neurozwyrodnieniowe i naczyniowe: odtwórz fakt ze skryptu zaczynający się od: Objawy zespołu natręctw reagują na leki hamujące zwrotny wychwyt...;Objawy zespołu natręctw reagują na leki hamujące zwrotny wychwyt serotoniny;Otępienia neurozwyrodnieniowe i naczyniowe
Otępienia neurozwyrodnieniowe i naczyniowe: odtwórz fakt ze skryptu zaczynający się od: Napadowy kurcz mięśni unerwianych przez NC...;Napadowy kurcz mięśni unerwianych przez NC VII.;Otępienia neurozwyrodnieniowe i naczyniowe
"20-letni mężczyzna skarży się na powtarzające się napady silnego bólu głowy obejmującego okolicę oczodołową, nadoczodołową oraz skroniową. Napady pojawiają się 1-2 razy w roku, trwają od 15 minut do 180 min, towarzyszą im zwykle przekrwienie spojówki, Izawienie, opadnięcie powieki zwężenie źrenicy oraz epizody zachowań agresywnych. Wskaż rodzaj bólu glowy występujący u pacjenta:
A. Hemikrania napadowa
B. Klasterowy ból głowy
C. Migrena z aurą
D. Migrena siatkówkowa
E. Napięciowy ból głowy";B. Klasterowy ból głowy (egzamin neurologia 2026 cykl A-2.docx, pyt. 70);Bóle głowy i zawroty
Bóle głowy i zawroty: co trzeba pamiętać o: ten punkt?;"Migrena: napadowy, zwykle jednostronny pulsujący ból, nudności, foto-/fonofobia, nasilenie przy aktywności; może być aura.";Bóle głowy i zawroty
Bóle głowy i zawroty: co trzeba pamiętać o: Napięciowy ból głowy?;Napięciowy ból głowy: obustronny, uciskowy, łagodny/umiarkowany, bez typowych nudności i bez nasilania wysiłkiem.;Bóle głowy i zawroty
Bóle głowy i zawroty: co trzeba pamiętać o: Klasterowy ból głowy?;Klasterowy ból głowy: bardzo silny jednostronny ból oczodołowo-skroniowy z objawami autonomicznymi, seriami napadów.;Bóle głowy i zawroty
Bóle głowy i zawroty: co trzeba pamiętać o: Czerwone flagi?;Czerwone flagi: nagły piorunujący początek, nowy ból po 50 r.ż., gorączka/oponowe, deficyt ogniskowy, nowotwór/immunosupresja, ciąża/połóg, ból po urazie.;Bóle głowy i zawroty
Bóle głowy i zawroty: co trzeba pamiętać o: Vertigo obwodowe?;Vertigo obwodowe: silne wirowanie, nudności, oczopląs zwykle jednokierunkowy, zaburzenia słuchu możliwe, bez innych objawów pniowych.;Bóle głowy i zawroty
"Bóle głowy i zawroty: co trzeba pamiętać o: Migrena lubi ciemność; napięciowy ściska; klaster budzi i łzawi.?";"Migrena lubi ciemność; napięciowy ściska; klaster budzi i łzawi.";Bóle głowy i zawroty
Bóle głowy i zawroty: co trzeba pamiętać o: W zawrotach centralnych szukaj móżdżku i pnia, nie samego błędnika.?;W zawrotach centralnych szukaj móżdżku i pnia, nie samego błędnika.;Bóle głowy i zawroty
Bóle głowy i zawroty: co trzeba pamiętać o: ten punkt?;Piorunujący ból głowy to SAH, dopóki nie udowodnisz inaczej w materiale egzaminacyjnym.;Bóle głowy i zawroty
Bóle głowy i zawroty: co pamiętasz o: wykluczające?;wczesny początek i stopniowy przebieg, brak ogniskowego deficytu poznawczego, brak zmian naczyniopochodnych w TK/MR;Bóle głowy i zawroty
"O padaczce lekoopornej mówi się wówczas, gdy:
A. 1 próba leczenia w monoterapii lub terapii dodanej nie prowadzi do osiągnięcia utrwalonej i pełnej kontroli napadów
B. 2 kolejne próby leczenia w monoterapii lub terapii dodanej nie prowadzą do osiągnięcia utrwalonej i pełnej kontroli napadów
C. 3 kolejne próby leczenia w monoterapii lub terapii dodanej nie prowadzą do osiągnięcia utrwalonej i pełnej kontroli napadów
D. 4 kolejne próby leczenia w monoterapii lub terapii dodanej nie prowadzą do osiągnięcia utrwalonej i pełnej kontroli napadów
E. 5 kolejnych prób leczenia w monoterapii lub terapii dodanej nie prowadzą do osiągnięcia utrwalonej i pełnej kontroli napadów";B. 2 kolejne próby leczenia w monoterapii lub terapii dodanej nie prowadzą do osiągnięcia utrwalonej i pełnej kontroli napadów (egzamin neurologia 2026 cykl A-2.docx, pyt. 11);Padaczka
"Wskaż NIEPRAWIDŁOWE zdanie dotyczące procesu epileptogenezy:
A. epileptogeneza obejmuje szereg zmian molekularnych prowadzących do trwałej skłonności do generowaniu napadów
B. epileptogeneza zapoczątkowuje tzw. zdarzenie inicjujące, uszkadzające mózg np. uraz lub udar
C. w okresie utajonym występują naprzemiennie okresy napadów i samoistnej remisji
D. w okresie utajonym nie obserwuje się napadów padaczkowych
E. W okresie przewlekłym pojawiają się spontaniczne, nawracające napady lęku padaczkowe
F. w";C. w okresie utajonym występują naprzemiennie okresy napadów i samoistnej remisji (egzamin neurologia 2026 cykl A-2.docx, pyt. 39);Padaczka
"Które z poniższych zdań charakteryzuje zespöl padaczkowy
A. to każdy pojedynczy napad padaczkowy bez względu na jego przyczynę
B. jest to stan, w ktörym wszystkie napady są wyłącznie uogólnione toniczno-kloniczne
C. jest to grupa napadów objawowych, wywołana jedynie ostrym czynnikiem metabolicznym
D. jest to zespół objawów obejmujący typowy wiek wystąpienia, morfologię napadów oraz wzorzec zapisu EEG, stanowiący określoną jednostkę w klasyfikacji padaczek
E. jest to wyłącznie padaczka pourazowa o późnym początku";D. jest to zespół objawów obejmujący typowy wiek wystąpienia, morfologię napadów oraz wzorzec zapisu EEG, stanowiący określoną jednostkę w klasyfikacji padaczek (egzamin neurologia 2026 cykl A-2.docx, pyt. 40);Padaczka
"W jakim celu wykonuje się badanie VEP?
A. Oceny przewodnictwa w nerwach obwodowych
B. Oceny funkcji nerwu wzrokowego i drogi wzrokowej
C. Monitorowania aktywności napadowej
D. Diagnostyki chorób nerwowo-mięśniowych
E. Oceny czynności pnia mózgu";B. Oceny funkcji nerwu wzrokowego i drogi wzrokowej (egzamin neurologia 2026 cykl A-2.docx, pyt. 42);Padaczka
"Leczenie otępienia czołowo-skroniowego (FTD, ang. frontotemporal dementia) - wskaż które stwierdzenie jest prawdziwe?
A. donepezil jest lekiem z wyboru i zwykle poprawia zachowanie
B. lewodopa poprawia zaburzenia zachowania
C. glikokortykosteroidy i plazmafereza to standard
D. inhibitory acetylocholinesterazy są nieskuteczne i mogą nasilać zaburzenia zachowania, można rozważyć SSRI oraz neuroleptyki atypowe/kwas walproinowy/karbamazepine
E. skuteczna jest szczepionka przeciw amyloidowi ß";D. inhibitory acetylocholinesterazy są nieskuteczne i mogą nasilać zaburzenia zachowania, można rozważyć SSRI oraz neuroleptyki atypowe/kwas walproinowy/karbamazepine (egzamin neurologia 2026 cykl A-2.docx, pyt. 53);Padaczka
"U 25-letniej pacjentki z padaczką od 8 roku życia i planującej ciążę w najbliższych miesiącach można zastosować:
A. Topiramat
B. Lamotryginę
C. Gabapentynę
D. Karbamazepine
E. Cenobamat";B. Lamotryginę (egzamin neurologia 2026 cykl A-2.docx, pyt. 56);Padaczka
